ano_mes_obitos,qtd_anomes_obitos
2010-02,1
2010-06,1
2010-07,1
2010-08,2
2011-03,1
2011-07,1
2011-08,1
2012-05,1
2012-06,1
2012-08,2
2012-10,1
2012-11,1
2012-12,1
2013-02,1
2013-03,2
2013-05,1
2013-06,1
2013-07,1
2013-09,1
2014-03,1
2014-07,1
2014-08,1
2014-09,1
2015-01,1
2015-03,1
2015-04,3
2015-10,1
2015-12,1
2016-05,3
2016-07,1
2016-09,1
2016-10,1
2017-03,1
2017-06,1
2017-07,1
2017-12,1
2018-06,1
2018-09,1
2018-10,2
2018-11,1
2019-01,1
2019-02,1
2019-03,1
2019-06,3
2019-07,3
2019-12,1
